subject,area,eccBand,nVertices,meanGain_mov,meanGain_stat,meanGain_avg,medianGain_avg
sub-0037,V1,4-8,1232,5.46716011291532,3.58866501508799,4.42942504498086,4.13412531442925
sub-0037,V1,2-10,3482,4.75739075267863,3.0991256124664,3.83975930627652,3.34976727203244
sub-0037,V1,1-12,4561,4.59189955158548,2.98729078000103,3.70369264290953,3.19591177394093
sub-0037,V1,0-Inf,5885,4.15504625141703,2.71057624928978,3.35597522097401,2.8473508582591
sub-0037,V2,4-8,1185,4.47481968726017,3.02671027392949,3.6802150373874,3.21722469193449
sub-0037,V2,2-10,2598,4.26125735910009,2.80849515923221,3.45943935707439,2.93512954787777
sub-0037,V2,1-12,3868,3.82672127475992,2.56634798429513,3.13379936019194,2.62684400373479
sub-0037,V2,0-Inf,5179,3.51661340357314,2.4036132146838,2.90733184341976,2.40723292137172
sub-0037,V3,4-8,675,3.62613603849856,2.49087046078463,3.00536772210701,2.16308117828119
sub-0037,V3,2-10,1900,3.34193350758757,2.34914493416381,2.80190759477568,2.07627504091117
sub-0037,V3,1-12,2623,3.28084226337355,2.30274971514099,2.74862849206763,2.0571031103548
sub-0037,V3,0-Inf,3301,3.24902783342416,2.26244318491755,2.71122497763242,2.05243374794451
sub-0037,V3a,4-8,251,2.46048392739444,1.60969343384335,1.99013186045647,1.82045182942023
sub-0037,V3a,2-10,492,2.39048220154643,1.51298401143423,1.90177847042127,1.66316809492713
sub-0037,V3a,1-12,565,2.36449949736654,1.4815324220742,1.87165238955493,1.62704873393344
sub-0037,V3a,0-Inf,779,2.50043021668794,1.45929186040237,1.91019827837763,1.58732442991529
sub-0037,V3b,4-8,109,1.55697933164077,1.11190093834409,1.31575331268202,1.24932092740884
sub-0037,V3b,2-10,273,1.47317533979745,1.07669977080484,1.25943143946594,1.17872061874211
sub-0037,V3b,1-12,319,1.45442474263497,1.04545260707457,1.23309859256325,1.15717393422885
sub-0037,V3b,0-Inf,353,1.45995103105282,1.04851778109149,1.23724880908479,1.16299262520571
sub-0037,hV4,4-8,33,3.33167028814272,3.09711065346723,3.2122502304844,2.8492882067727
sub-0037,hV4,2-10,520,5.09023398259697,4.21115607255618,4.62987794078257,3.28947343159369
sub-0037,hV4,1-12,726,4.52398342582772,3.79921699987358,4.14579241382766,3.10412989486928
sub-0037,hV4,0-Inf,1123,3.5458819310998,3.00884112992888,3.26634281669342,2.50060646519522
sub-0037,MT,4-8,12,1.62296992163688,0.923881753645838,1.22451308580853,1.19066927514853
sub-0037,MT,2-10,110,2.05961119894163,1.35012875068767,1.66755518497272,1.63163860582067
sub-0037,MT,1-12,201,1.89590066471435,1.33047067788632,1.58821920482899,1.50648477519167
sub-0037,MT,0-Inf,515,1.90843016034712,1.39680888782834,1.63270089415438,1.50480542447762
sub-0037,MST,4-8,29,1.92255672090736,1.23643077137652,1.5417873684288,1.41535810500769
sub-0037,MST,2-10,129,2.81420556082421,1.57532274111662,2.10553604057096,1.86713885640706
sub-0037,MST,1-12,336,2.50045196627784,1.32143639385091,1.81774261910635,1.64365245950615
sub-0037,MST,0-Inf,671,2.10883856116994,1.16889652955118,1.57003632936797,1.42166500013863
sub-0201,V1,4-8,1126,4.0369987797497,3.7204187430182,3.87547750938157,3.51488092401526
sub-0201,V1,2-10,2459,3.92037592130371,3.5484367807278,3.729772930546,3.31507214169159
sub-0201,V1,1-12,3584,3.85986108458265,3.46798122505713,3.65867814554127,3.20680771462813
sub-0201,V1,0-Inf,4719,3.5455446392755,3.19534406380896,3.36589290026861,2.90416178879923
sub-0201,V2,4-8,1077,3.20395505901569,2.86997577864646,3.03237092309744,2.74667871429441
sub-0201,V2,2-10,2619,3.21018495052222,2.92926521655539,3.06650992404628,2.74026401176675
sub-0201,V2,1-12,3609,3.09197079811988,2.83519267992455,2.9607993808041,2.65399529478866
sub-0201,V2,0-Inf,5061,3.08290814728638,2.78660353091504,2.93101394208812,2.64496926942971
sub-0201,V3,4-8,771,2.88707080984989,2.69785225330516,2.79085837867225,2.59388223504169
sub-0201,V3,2-10,1685,2.82090408813721,2.65287945147127,2.73560203428615,2.58032936724415
sub-0201,V3,1-12,2273,2.6607927382039,2.49700432771236,2.57759790938012,2.40637451825382
sub-0201,V3,0-Inf,3266,2.45654076062812,2.29566773145344,2.37474237659037,2.17556158526662
sub-0201,V3a,4-8,383,2.65174483091914,2.31940890323595,2.48001624388707,1.86649940664972
sub-0201,V3a,2-10,705,2.52305235313431,2.20256118651203,2.35736657831392,2.06311895920601
sub-0201,V3a,1-12,775,2.51376058761904,2.19018771783084,2.34640311212086,2.05857312605032
sub-0201,V3a,0-Inf,1122,2.466419436576,2.1096754966874,2.28108409531476,1.9484803312052
sub-0201,V3b,4-8,412,3.28699798923041,3.27073356283291,3.27885569129539,2.44024318215385
sub-0201,V3b,2-10,637,3.00834526355279,3.1123750955104,3.05991811605775,2.50507253842173
sub-0201,V3b,1-12,663,2.9375356878182,3.03780829950226,2.98725129383824,2.41806633015301
sub-0201,V3b,0-Inf,752,2.71728750252921,2.81442617455416,2.76543035907743,2.06053278693006
sub-0201,hV4,4-8,226,4.27726630163578,4.54321006608998,4.40823312869671,3.8641049781631
sub-0201,hV4,2-10,724,3.45259992170256,3.66389040475965,3.55667649985206,2.86683937931334
sub-0201,hV4,1-12,935,3.21912250852228,3.41015787815031,3.31326364528515,2.61219177843991
sub-0201,hV4,0-Inf,1628,2.54087356229951,2.5984089307646,2.5694802112923,1.96452724644984
sub-0201,MT,4-8,61,2.15514685898591,1.45553967625994,1.77113008032188,1.39972817955967
sub-0201,MT,2-10,197,1.68697060484268,1.00610778576719,1.30279478809697,0.980063878184122
sub-0201,MT,1-12,248,1.70011590827013,0.999822933661763,1.30376948690007,1.04481746805976
sub-0201,MT,0-Inf,390,1.73367963948212,1.04419224994453,1.34547197794449,1.16336317503663
sub-0201,MST,4-8,52,1.80435162782182,0.999485522899428,1.34291598033084,1.14530436770398
sub-0201,MST,2-10,211,2.04885223457405,1.10699971662659,1.50601422406405,1.37141355394511
sub-0201,MST,1-12,275,2.18618368267477,1.14962264215135,1.58533474746021,1.49359662842263
sub-0201,MST,0-Inf,408,2.09258808353778,1.1337874291646,1.5403084313003,1.37583396583284
sub-0255,V1,4-8,1606,4.68502922006713,4.44445754932978,4.56315827973981,3.80466781246003
sub-0255,V1,2-10,3605,4.74772499519259,4.51102127719077,4.62786003154419,3.85280350467672
sub-0255,V1,1-12,5225,4.48129525152226,4.25256030305784,4.36542990928788,3.58897713194031
sub-0255,V1,0-Inf,6886,4.19948213802236,3.95648004332312,4.07617066269033,3.36536967373385
sub-0255,V2,4-8,1264,5.33799466818699,4.84977987129065,5.08803489520562,3.65559826814658
sub-0255,V2,2-10,3099,4.7830349878975,4.36511575828597,4.5692998805183,3.48975167529532
sub-0255,V2,1-12,4792,4.37728021322897,4.03188202882539,4.20103289999625,3.23928846897036
