variant,weighting,experiment,fit,asymmetry,beta,delta,ciLo,ciHi,r2
raw,equalcoverage,dg,A,horiz-vert,-0.288543555168188,-0.577087110336377,-0.686578409091638,-0.458336978236912,0.441767683431017
raw,equalcoverage,dg,A,card-obl,-0.120211398518427,-0.240422797036853,-0.351813114759238,-0.123998866682056,0.441767683431017
raw,equalcoverage,dg,A,rad-tang,0.0569810706012805,0.113962141202561,0.0570818177084505,0.179627682010601,0.441767683431017
raw,equalcoverage,dg,A,polc-polo,0.021727759985308,0.043455519970616,0.0163016779869544,0.0740037415749653,0.441767683431017
raw,equalcoverage,dg,B,horiz-vert,-0.288453305631254,-0.576906611262507,-0.686455009834736,-0.458582628470614,0.443286158807041
raw,equalcoverage,dg,B,card-obl,-0.120006375387054,-0.240012750774108,-0.350944546972232,-0.123670543130798,0.443286158807041
raw,equalcoverage,dg,B,rad-tang,0.0595140156671485,0.119028031334297,0.0612433245659416,0.193825475862597,0.443286158807041
raw,equalcoverage,dg,B,polc-polo,0.0386270241171267,0.0772540482342535,0.0402406537409589,0.121374931020115,0.443286158807041
raw,natural,dg,A,horiz-vert,-0.269782583804577,-0.539565167609154,-0.661128459933455,-0.403519061728966,0.411055007727119
raw,natural,dg,A,card-obl,-0.115046447615353,-0.230092895230707,-0.35072997858397,-0.116265478666771,0.411055007727119
raw,natural,dg,A,rad-tang,0.0682957558857812,0.136591511771562,0.0743110773190824,0.20675103902275,0.411055007727119
raw,natural,dg,A,polc-polo,0.0213069561211878,0.0426139122423756,0.0182213663477722,0.0710597902133622,0.411055007727119
raw,natural,dg,B,horiz-vert,-0.272856969932486,-0.545713939864973,-0.669196185053961,-0.409305440034718,0.413974120435564
raw,natural,dg,B,card-obl,-0.116854178144908,-0.233708356289815,-0.357132688537341,-0.117408996475665,0.413974120435564
raw,natural,dg,B,rad-tang,0.0722939389906737,0.144587877981347,0.0785484046650322,0.224151527295794,0.413974120435564
raw,natural,dg,B,polc-polo,0.0387949995210267,0.0775899990420533,0.0395670303225348,0.1225515007892,0.413974120435564
raw,equalcoverage,da,A,horiz-vert,-0.103852556350846,-0.207705112701692,-0.305172518250375,-0.102504343850124,0.242360448984433
raw,equalcoverage,da,A,card-obl,-0.016177905934068,-0.032355811868136,-0.0664233107102283,-0.0040753135682683,0.242360448984433
raw,equalcoverage,da,A,rad-tang,0.0815662826846008,0.163132565369202,0.0253635928175495,0.266029505604128,0.242360448984433
raw,equalcoverage,da,A,polc-polo,0.0166854397971814,0.0333708795943628,-0.0336234016498121,0.0970331350654582,0.242360448984433
raw,equalcoverage,da,B,horiz-vert,-0.114082026044528,-0.228164052089056,-0.330152648278324,-0.117055108099661,0.26207892136734
raw,equalcoverage,da,B,card-obl,-0.0239125015654637,-0.0478250031309274,-0.101962317995273,-0.0038117179141843,0.26207892136734
raw,equalcoverage,da,B,rad-tang,0.0810272902395647,0.162054580479129,0.0245090814006967,0.264318920744934,0.26207892136734
raw,equalcoverage,da,B,polc-polo,0.0167881865220138,0.0335763730440276,-0.0334755626142772,0.0967727511639408,0.26207892136734
raw,natural,da,A,horiz-vert,-0.111814468387564,-0.223628936775128,-0.308187404158041,-0.128989942223547,0.212500466265994
raw,natural,da,A,card-obl,-0.0212757353744268,-0.0425514707488537,-0.0871360981855054,-0.0119084353139974,0.212500466265994
raw,natural,da,A,rad-tang,0.0741262796252745,0.148252559250549,0.0239796987990971,0.237553910416775,0.212500466265994
raw,natural,da,A,polc-polo,0.0170753145267728,0.0341506290535457,-0.0271592293091017,0.0937240295307176,0.212500466265994
raw,natural,da,B,horiz-vert,-0.126899290850569,-0.253798581701138,-0.343578445407212,-0.149140549603429,0.238738518484834
raw,natural,da,B,card-obl,-0.0309331600177353,-0.0618663200354707,-0.128570198414983,-0.0143728198197555,0.238738518484834
raw,natural,da,B,rad-tang,0.0818989945345384,0.163797989069077,0.0469898698302981,0.250235217282078,0.238738518484834
raw,natural,da,B,polc-polo,0.0176442961048107,0.0352885922096214,-0.0266447384230234,0.0947967021895285,0.238738518484834
