experiment,asymmetry,equal,equal_lo,equal_hi,equal_p,weighted,weighted_lo,weighted_hi,weighted_p,tau,mean_sigma,weight_ratio
dg,horiz-vert,-0.479828942534368,-0.64704984459515,-0.312608040473587,0.000256654888606839,-0.471165943737361,-0.634306064231936,-0.308025823242787,0.000246567675977749,0.155225710585505,0.126146652310368,2.22066710581
dg,card-obl,-0.204375195071407,-0.334309035482893,-0.074441354659921,0.00746236850561073,-0.193982655412276,-0.323084994016538,-0.0648803168080139,0.00930669906639858,0.134356506751675,0.0781249510625701,1.39563805522799
dg,rad-tang,0.115887111620395,0.0447614140374269,0.187012809203364,0.00627007518833826,0.121622000114056,0.0518199834498029,0.191424016778309,0.00445908227132996,0.072255473725222,0.0449126927443467,1.90226608737973
dg,polc-polo,0.0292477103448618,-0.016842473602928,0.0753378942926517,0.177163919597963,0.0284722677323264,-0.0172903212372633,0.0742348567019162,0.184706663595138,0.0489289948948491,0.0254030822949512,1.39751277478278
da,horiz-vert,-0.211370122837252,-0.338239796006408,-0.0845004496680963,0.00560649240095112,-0.209093530285928,-0.335825268734344,-0.082361791837512,0.00588846673469967,0.145309808226724,0.0437537671514929,1.14695938301832
da,card-obl,-0.0295895608724095,-0.0684076425402366,0.00922852079541765,0.114470877608504,-0.028270159517617,-0.0667779639171601,0.0102376448819261,0.12614820104075,0.0395675969950532,0.0242967333773904,1.40722084255942
da,rad-tang,0.150079233557335,-0.0242990778195615,0.324457544934232,0.0812960955305211,0.175571377288023,0.0108168950787706,0.340325859497275,0.0398179425174763,0.159971803973009,0.133847566361721,2.94811592150726
da,polc-polo,0.0335703205200844,-0.0616782441051638,0.128818885145333,0.432127317365983,0.0314440143094796,-0.0618188944486949,0.124706923067654,0.451499991095487,0.0900016317200471,0.0698565834736502,1.83279681192584
dg-da,horiz-vert,-0.268458819697116,-0.490239755009852,-0.0466778843843807,0.0242575475305311,-0.267266914973805,-0.486925144641159,-0.0476086853064513,0.0237486773958551,0.229231186143483,0.133519174761754,1.62464295370202
dg-da,card-obl,-0.174785634198997,-0.280494688734376,-0.0690765796636184,0.00582485523039654,-0.158993256732446,-0.263029104659023,-0.0549574088058697,0.00858126902516787,0.0964054537476452,0.0818158861795249,1.67048788230574
dg-da,rad-tang,-0.0341921219369397,-0.238712487675071,0.170328243801192,0.704375328134973,-0.0545684456977581,-0.252482526116399,0.143345634720883,0.535233970207689,0.199785357466237,0.141181872032154,2.32448411428268
dg-da,polc-polo,-0.00432261017522251,-0.118509857490113,0.109864637139668,0.931180821531945,-0.0065189691405771,-0.119491310801199,0.106453372520045,0.895308054294666,0.114586143889356,0.0743320848940423,1.56292489467033
