area,experiment,asymmetry,variant,route,weighting,n,mean,t_lo,t_hi,t_p,boot_lo,boot_hi,eq_mean,eq_lo,eq_hi,eq_p,pw_mean,pw_lo,pw_hi,pw_p,tau,mean_sigma,weight_ratio,obs_agree,ci_methods_disagree,band,reportable
V1,dg,horiz-vert,spec,harmonic,equal,7,-0.514115585233185,-0.662068831326809,-0.36616233913956,0.000144874706434788,-0.619780647430769,-0.398305075489221,-0.514115585233185,-0.662068831326809,-0.36616233913956,0.000144874706434788,-0.509576479495197,-0.645778018945063,-0.373374940045331,9.56168935011857e-05,0.0874916397197564,0.133931236049879,3.61461389640122,7,0,4-8,1
V1,dg,card-obl,spec,harmonic,equal,7,-0.193257380905091,-0.336528541831228,-0.0499862199789531,0.0163951839417885,-0.298817423344749,-0.0880955174848944,-0.193257380905091,-0.336528541831228,-0.0499862199789531,0.0163951839417885,-0.182450358209231,-0.324758611438364,-0.0401421049800989,0.0201411327436168,0.133497831021349,0.0785909965685586,1.38657184058487,6,0,4-8,1
V1,dg,rad-tang,spec,harmonic,equal,7,0.0907264169840693,0.0439329682317117,0.137519865736427,0.0031775016068504,0.0578104106744388,0.125967152341189,0.0907264169840693,0.0439329682317117,0.137519865736427,0.0031775016068504,0.102037001598676,0.0621909956839222,0.14188300751343,0.000767264243546805,0.026203318923814,0.043282053792149,5.98805767583691,7,0,4-8,1
V1,dg,polc-polo,spec,harmonic,equal,7,0.0563404149350857,0.0274017309658202,0.0852790989043512,0.00311398582220893,0.0346804024538391,0.0775772724843734,0.0563404149350857,0.0274017309658202,0.0852790989043512,0.00311398582220893,0.0606525415820404,0.0332504883287605,0.0880545948353204,0.00163885195105543,0.0183179723736906,0.0253679643510053,2.5965696352341,7,0,4-8,1
V1,da,horiz-vert,spec,harmonic,equal,7,-0.212393294362318,-0.383876674776144,-0.0409099139484913,0.023078343788746,-0.345117056373708,-0.0929863689354705,-0.212393294362318,-0.383876674776144,-0.0409099139484913,0.023078343788746,-0.211952194821023,-0.383018961166761,-0.0408854284752849,0.0230465643240962,0.177048447549524,0.055080076679617,1.21241988083986,6,0,4-8,1
V1,da,card-obl,spec,harmonic,equal,7,-0.0440174861678497,-0.103200639753188,0.0151656674174886,0.118638180722008,-0.0901502980622229,-0.00149702451759159,-0.0440174861678497,-0.103200639753188,0.0151656674174886,0.118638180722008,-0.0459606440239528,-0.103681868839996,0.0117605807920908,0.0992846423030741,0.0551190541920061,0.0325103778444125,2.07540513033938,5,1,4-8,1
V1,da,rad-tang,spec,harmonic,equal,7,0.198196589254246,0.119087055490534,0.277306123017958,0.000861412421526472,0.13697274335139,0.253739456279379,0.198196589254246,0.119087055490534,0.277306123017958,0.000861412421526472,0.217449429775341,0.123868768934114,0.311030090616568,0.00127660786200176,0,0.157015783352595,17.4201086034933,7,0,4-8,1
V1,da,polc-polo,spec,harmonic,equal,7,0.0504146721703932,-0.0234952368626296,0.124324581203416,0.146146091807385,0.000930812847296232,0.106081339625458,0.0504146721703932,-0.0234952368626296,0.124324581203416,0.146146091807385,0.0417092016169738,-0.0215353881439297,0.104953791377877,0.157716195492585,0.0338233074625738,0.0724053858782205,7.13582790952582,4,1,4-8,1
V1,dg,horiz-vert,spec,harmonic,equal,7,-0.470170890887473,-0.574280421765692,-0.366061360009254,3.26804406657395e-05,-0.539586048412867,-0.383132199919605,-0.470170890887473,-0.574280421765692,-0.366061360009254,3.26804406657395e-05,-0.479804524686695,-0.571543867374631,-0.388065181998758,1.39799313764122e-05,0,0.122873590548211,7.40835018775522,7,0,2-10,1
V1,dg,card-obl,spec,harmonic,equal,7,-0.185447488823498,-0.330640367641933,-0.0402546100050637,0.0204460817063155,-0.2956541831062,-0.0812381465956746,-0.185447488823498,-0.330640367641933,-0.0402546100050637,0.0204460817063155,-0.178837748552781,-0.323401479720313,-0.0342740173852491,0.0231860414088311,0.138670608256949,0.073598770754005,1.3366088060075,6,0,2-10,1
