area,experiment,asymmetry,variant,route,weighting,n,mean,t_lo,t_hi,t_p,boot_lo,boot_hi,eq_mean,eq_lo,eq_hi,eq_p,pw_mean,pw_lo,pw_hi,pw_p,tau,mean_sigma,weight_ratio,obs_agree,ci_methods_disagree,band,reportable
V1,dg-da,horiz-vert,roi,roi,equal,7,-0.321007316389737,-0.555708050727077,-0.0863065820523961,0.015482257774791,-0.50390219508483,-0.161567154961357,-0.321007316389737,-0.555708050727077,-0.0863065820523961,0.015482257774791,-0.325677035577947,-0.557135289713707,-0.0942187814421875,0.0137508853861117,0.208839442044925,0.144176083276483,1.61598171633559,7,0,4-8,1
V1,dg-da,card-obl,roi,roi,equal,7,-0.164591528958521,-0.290355201756961,-0.0388278561600822,0.018544697972057,-0.256379399430062,-0.0710624940635055,-0.164591528958521,-0.290355201756961,-0.0388278561600822,0.018544697972057,-0.149662314503184,-0.273791475053097,-0.025533153953271,0.0256050737550236,0.109313528931775,0.0808828689368623,1.54976206158145,6,0,4-8,1
V1,dg-da,rad-tang,roi,roi,equal,7,-0.114458168622213,-0.183711564281612,-0.0452047729628138,0.0067710447893271,-0.163192649199203,-0.0618099317174839,-0.114458168622213,-0.183711564281612,-0.0452047729628138,0.0067710447893271,-0.129230288983021,-0.231624355045167,-0.0268362229208759,0.0214366229161191,0,0.160353403533608,14.9907932732556,6,0,4-8,1
V1,dg-da,polc-polo,roi,roi,equal,7,-0.0347210557332505,-0.105947800894803,0.0365056894283021,0.277973079109436,-0.0890014097954768,0.015105435669274,-0.0347210557332505,-0.105947800894803,0.0365056894283021,0.277973079109436,-0.0235257787321193,-0.0826073485175963,0.0355557910533578,0.367516846818901,0.0227551922015892,0.0735762855279658,8.83153379346638,3,0,4-8,1
V1,dg-da,horiz-vert,roi,roi,equal,7,-0.28177530261294,-0.459634903370153,-0.103915701855727,0.00820351886554421,-0.410209836461551,-0.152866066302149,-0.28177530261294,-0.459634903370153,-0.103915701855727,0.00820351886554421,-0.294432637211656,-0.468393115181849,-0.120472159241464,0.00606869403560058,0.142045568980207,0.129642733398933,1.86837485460968,7,0,2-10,1
V1,dg-da,card-obl,roi,roi,equal,7,-0.157943471921641,-0.297523249643439,-0.0183636941998422,0.0324723191574425,-0.262849245391448,-0.0565992729409839,-0.157943471921641,-0.297523249643439,-0.0183636941998422,0.0324723191574425,-0.14878139613711,-0.287608373558395,-0.00995441871582498,0.0394610269500448,0.131707537732694,0.073692892289888,1.37417486855895,6,0,2-10,1
V1,dg-da,rad-tang,roi,roi,equal,7,-0.0926558742118991,-0.163202453324255,-0.0221092950995433,0.0182799157721811,-0.148138529266882,-0.0440812000457773,-0.0926558742118991,-0.163202453324255,-0.0221092950995433,0.0182799157721811,-0.0993223674428178,-0.198156721229504,-0.000488013656131076,0.0491865715307344,0,0.160533078784102,17.8152864546669,6,0,2-10,1
V1,dg-da,polc-polo,roi,roi,equal,7,-0.0341674972307949,-0.110309202379783,0.0419742079181927,0.314295170812331,-0.0913054398019286,0.0201566861302954,-0.0341674972307949,-0.110309202379783,0.0419742079181927,0.314295170812331,-0.034118361452283,-0.105734689084067,0.0374979661795006,0.287967007067874,0.0438929403481982,0.0696526251407859,3.45736547869995,5,0,2-10,1
V2,dg-da,horiz-vert,roi,roi,equal,7,-0.240292685292083,-0.367662360119693,-0.112923010464473,0.00362944920320669,-0.342998785783823,-0.156321706852356,-0.240292685292083,-0.367662360119693,-0.112923010464473,0.00362944920320669,-0.235974806024984,-0.358999847176404,-0.112949764873564,0.00334889691337751,0.0855145740913308,0.107953840628764,2.11586959031583,7,0,4-8,1
V2,dg-da,card-obl,roi,roi,equal,7,-0.149495325968074,-0.242102426098672,-0.0568882258374762,0.0075372820198569,-0.219627898587877,-0.0809471177770172,-0.149495325968074,-0.242102426098672,-0.0568882258374762,0.0075372820198569,-0.132660546015423,-0.222328330954824,-0.0429927610760219,0.0110954995035977,0.0745357114793197,0.0668651003193183,2.09719105494576,7,0,4-8,1
V2,dg-da,rad-tang,roi,roi,equal,7,0.0103974777908976,-0.0801938813192511,0.100988836901046,0.788265705767003,-0.051279768095373,0.0813759540941359,0.0103974777908976,-0.0801938813192511,0.100988836901046,0.788265705767003,0.0304080177877762,-0.0541665777712367,0.114982613346789,0.412832116511864,0.0538579263832247,0.0818174920899228,2.9111278526375,3,0,4-8,1
