area,experiment,asymmetry,variant,route,weighting,n,mean,t_lo,t_hi,t_p,boot_lo,boot_hi,eq_mean,eq_lo,eq_hi,eq_p,pw_mean,pw_lo,pw_hi,pw_p,tau,mean_sigma,weight_ratio,obs_agree,ci_methods_disagree,band,reportable
V1,dg-da,horiz-vert,spec,harmonic,equal,7,-0.301722290870867,-0.538445596349123,-0.0649989853926105,0.0206169218363958,-0.487281483797807,-0.143332602720922,-0.301722290870867,-0.538445596349123,-0.0649989853926105,0.0206169218363958,-0.30593446129397,-0.539378825585733,-0.0724900970022078,0.0184427155596088,0.211054526775613,0.144815022828714,1.60181562067394,7,0,4-8,1
V1,dg-da,card-obl,spec,harmonic,equal,7,-0.149239894737241,-0.280584483994253,-0.0178953054802292,0.0319844945628952,-0.243191979415274,-0.0496209808565163,-0.149239894737241,-0.280584483994253,-0.0178953054802292,0.0319844945628952,-0.135232702788271,-0.265034050450784,-0.00543135512575735,0.0435316945390032,0.11373475963334,0.0850498054625974,1.52370226366019,6,0,4-8,1
V1,dg-da,rad-tang,spec,harmonic,equal,7,-0.107470172270177,-0.153811461362099,-0.0611288831782545,0.00128963496135042,-0.1408805082743,-0.0720889577202333,-0.107470172270177,-0.153811461362099,-0.0611288831782545,0.00128963496135042,-0.126186198436816,-0.229304923882302,-0.0230674729913295,0.0241860854461997,0,0.162872012335747,14.986075282308,7,0,4-8,1
V1,dg-da,polc-polo,spec,harmonic,equal,7,0.00592574276469245,-0.0532777162135495,0.0651292017429344,0.814684028185044,-0.0373388347780417,0.0503442239538677,0.00592574276469245,-0.0532777162135495,0.0651292017429344,0.814684028185044,0.0108954257363495,-0.0450707143921723,0.0668615658648713,0.650667744021594,0,0.0767207502536823,11.9759657388774,4,0,4-8,1
V1,dg-da,horiz-vert,spec,harmonic,equal,7,-0.270989463083543,-0.455292320941374,-0.0866866052257114,0.0113963877812559,-0.405660911636002,-0.137042879025727,-0.270989463083543,-0.455292320941374,-0.0866866052257114,0.0113963877812559,-0.28354359238509,-0.464219069700537,-0.102868115069643,0.00855824175826295,0.150845993226095,0.130222237399322,1.77359485609918,7,0,2-10,1
V1,dg-da,card-obl,spec,harmonic,equal,7,-0.136816078362141,-0.283330222978325,0.00969806625404426,0.0623750031331617,-0.240332586999527,-0.0225102303052633,-0.136816078362141,-0.283330222978325,0.00969806625404426,0.0623750031331617,-0.130831839616871,-0.276682168556605,0.015018489322864,0.070591763698327,0.137331901982222,0.0789738748252878,1.33953941355284,6,1,2-10,1
V1,dg-da,rad-tang,spec,harmonic,equal,7,-0.0968519474503341,-0.16092423718923,-0.032779657711438,0.010103187693181,-0.150049917384113,-0.055416719820263,-0.0968519474503341,-0.16092423718923,-0.032779657711438,0.010103187693181,-0.0980376927518354,-0.199038565317596,0.00296317981392556,0.0551337417460833,0,0.16742887739526,18.8449703489083,7,0,2-10,1
V1,dg-da,polc-polo,spec,harmonic,equal,7,-0.00673671180031886,-0.0805967299660036,0.0671233063653659,0.830799018284183,-0.0636898732169611,0.0466797876943416,-0.00673671180031886,-0.0805967299660036,0.0671233063653659,0.830799018284183,-0.00799762202501111,-0.0757146719507137,0.0597194279006915,0.782314893188296,0.0297709178478192,0.0741055278079009,4.62859398175936,3,0,2-10,1
V2,dg-da,horiz-vert,spec,harmonic,equal,7,-0.24515961033878,-0.368765069900215,-0.121554150777344,0.00284235377815065,-0.34422172061071,-0.163162136837186,-0.24515961033878,-0.368765069900215,-0.121554150777344,0.00284235377815065,-0.241319414392514,-0.358077778565731,-0.124561050219297,0.00231674973150706,0.0761108764388138,0.109860850603778,2.45778819933453,7,0,4-8,1
V2,dg-da,card-obl,spec,harmonic,equal,7,-0.134868950668764,-0.22388768980661,-0.0458502115309189,0.0100024122785054,-0.202824562205696,-0.0700649392622083,-0.134868950668764,-0.22388768980661,-0.0458502115309189,0.0100024122785054,-0.118820255705734,-0.205282988508232,-0.0323575229032365,0.0151800432312558,0.0688196470151226,0.0672934237800407,2.02683176896497,7,0,4-8,1
V2,dg-da,rad-tang,spec,harmonic,equal,7,0.0383958156488299,-0.0737239895276023,0.150515620825262,0.434161101481768,-0.0390448604953087,0.126690329751306,0.0383958156488299,-0.0737239895276023,0.150515620825262,0.434161101481768,0.0508922716950262,-0.0587866420309966,0.160571185421049,0.299520078965903,0.0896102411563414,0.0816511821202263,1.90781720708169,3,0,4-8,1
V2,dg-da,polc-polo,spec,harmonic,equal,7,0.0214918320586525,-0.0582600906712517,0.101243754788557,0.534112922851573,-0.0443431298266004,0.0693160650381936,0.0214918320586525,-0.0582600906712517,0.101243754788557,0.534112922851573,0.0297709471501434,-0.0481521074392347,0.107694001739521,0.385942350282613,0.0602720948802239,0.0616712963695739,1.92019127883069,5,0,4-8,1
V2,dg-da,horiz-vert,spec,harmonic,equal,7,-0.229001537776967,-0.334764654174688,-0.123238421379245,0.00183310106762007,-0.308278494777801,-0.151275528431928,-0.229001537776967,-0.334764654174688,-0.123238421379245,0.00183310106762007,-0.220406066192264,-0.319420677708736,-0.121391454675793,0.00159213997245766,0.0534409507884093,0.101102520162268,3.00085642324466,7,0,2-10,1
V2,dg-da,card-obl,spec,harmonic,equal,7,-0.133980244497439,-0.238061457550077,-0.0298990314448018,0.0198190654089034,-0.214454735468826,-0.0608255155449756,-0.133980244497439,-0.238061457550077,-0.0298990314448018,0.0198190654089034,-0.121715909240204,-0.224604410589131,-0.0188274078912769,0.027525291335257,0.0953141542715153,0.0598350890325394,1.50812660009601,7,0,2-10,1
V2,dg-da,rad-tang,spec,harmonic,equal,7,0.0330719507992156,-0.0609560807353058,0.127099982333737,0.42249009773048,-0.0321300103431954,0.106635629247184,0.0330719507992156,-0.0609560807353058,0.127099982333737,0.42249009773048,0.0421040990837206,-0.0461014804718171,0.130309678639258,0.28711029135146,0.0643292982535987,0.0787292993446151,2.7837506508194,4,0,2-10,1
V2,dg-da,polc-polo,spec,harmonic,equal,7,-0.000758118925987282,-0.0711606231005562,0.0696443852485817,0.979833312026311,-0.057765124045143,0.046881831907219,-0.000758118925987282,-0.0711606231005562,0.0696443852485817,0.979833312026311,0.000944395257841089,-0.0683054977734121,0.0701942882890943,0.974462131804407,0.0557301577871244,0.0518549729780767,1.75430700741553,2,0,2-10,1
V3,dg-da,horiz-vert,spec,harmonic,equal,7,-0.0904469808191152,-0.185256052929312,0.00436209129108137,0.0582942163729917,-0.157735015568414,-0.0167038228745368,-0.0904469808191152,-0.185256052929312,0.00436209129108137,0.0582942163729917,-0.0781033486646021,-0.161544309718499,0.00533761238929498,0.0619112597448467,0.0439815915997101,0.0925992146694737,4.94992454965129,6,1,4-8,1
V3,dg-da,card-obl,spec,harmonic,equal,7,-0.0753761557316801,-0.139189067767792,-0.0115632436955685,0.0276825137646618,-0.122334465893547,-0.0266027272511047,-0.0753761557316801,-0.139189067767792,-0.0115632436955685,0.0276825137646618,-0.0431966407824195,-0.0973680240474177,0.0109747424825787,0.0988964052204164,0.0331798703853215,0.0604969474380989,4.87078576966897,6,0,4-8,1
V3,dg-da,rad-tang,spec,harmonic,equal,7,-0.0638701186882884,-0.133885780376849,0.00614554300027269,0.0670684567609649,-0.121052957088569,-0.0172786848723575,-0.0638701186882884,-0.133885780376849,0.00614554300027269,0.0670684567609649,-0.0776035664489872,-0.136527185391577,-0.0186799475063974,0.0180772381600347,0,0.0758771724573647,4.95768467298763,6,1,4-8,1
V3,dg-da,polc-polo,spec,harmonic,equal,7,0.00809809348818033,-0.0634218278478916,0.0796180148242523,0.791031729256942,-0.0367101899476028,0.0678864491026823,0.00809809348818033,-0.0634218278478916,0.0796180148242523,0.791031729256942,0.00744464739810609,-0.0634538276246461,0.0783431224208583,0.805811734621865,0.0573300512906218,0.051898570528007,1.58375962874725,3,0,4-8,1
V3,dg-da,horiz-vert,spec,harmonic,equal,7,-0.117056100751891,-0.218249432734125,-0.0158627687696574,0.0299387840396055,-0.188365749356372,-0.0365020059304344,-0.117056100751891,-0.218249432734125,-0.0158627687696574,0.0299387840396055,-0.0951926113601072,-0.190348375610603,-3.68471096110212e-05,0.0499356996904117,0.0674007177298464,0.0861922341009454,2.72159145693014,6,0,2-10,1
V3,dg-da,card-obl,spec,harmonic,equal,7,-0.0700664607838345,-0.161309904595207,0.0211769830275383,0.109306416774481,-0.140319446643519,-0.00564515047772998,-0.0700664607838345,-0.161309904595207,0.0211769830275383,0.109306416774481,-0.051459412692888,-0.140487658969818,0.0375688335840421,0.20699452010419,0.081162669016124,0.0560894346271563,1.75137473705987,5,1,2-10,1
V3,dg-da,rad-tang,spec,harmonic,equal,7,-0.0776209988297534,-0.148355579005563,-0.00688641865394408,0.0362871311479153,-0.136188718008776,-0.0330239272187499,-0.0776209988297534,-0.148355579005563,-0.00688641865394408,0.0362871311479153,-0.0619848768059162,-0.117864380143247,-0.00610537346858538,0.034907880814245,0.0103963451180448,0.0757726837533118,8.72058908502817,7,0,2-10,1
V3,dg-da,polc-polo,spec,harmonic,equal,7,0.00977305964779772,-0.0490678497098668,0.0686139690054622,0.698536575720149,-0.0312127431931924,0.0553015096481541,0.00977305964779772,-0.0490678497098668,0.0686139690054622,0.698536575720149,0.0123111950902199,-0.0446746779871296,0.0692970681675693,0.616036996653586,0.0422437581838274,0.0475738911512654,2.31799764120323,4,0,2-10,1
V3a,dg-da,horiz-vert,spec,harmonic,equal,7,-0.0636526535144817,-0.214010576323883,0.0867052692949194,0.340192176049014,-0.174313290771614,0.0491974997295832,-0.0636526535144817,-0.214010576323883,0.0867052692949194,0.340192176049014,-0.0562091382217319,-0.202810435781361,0.0903921593378968,0.384362992048712,0.1298387737307,0.0978412953639245,2.02614541647945,4,0,4-8,0
V3a,dg-da,card-obl,spec,harmonic,equal,7,-0.130375212653727,-0.265873832957197,0.00512340764974215,0.0567171025921996,-0.23436036891012,-0.0368095574014096,-0.130375212653727,-0.265873832957197,0.00512340764974215,0.0567171025921996,-0.10635767586569,-0.236993447942992,0.0242780962116133,0.0934354336685274,0.123398333781504,0.078980145037826,2.36680113429701,6,1,4-8,0
V3a,dg-da,rad-tang,spec,harmonic,equal,7,-0.128506270468324,-0.218130761169428,-0.0388817797672199,0.0126952088551549,-0.1931803099453,-0.0638499813992018,-0.128506270468324,-0.218130761169428,-0.0388817797672199,0.0126952088551549,-0.129091308087373,-0.212632781341564,-0.0455498348331818,0.00916898427845676,0.0419976297765951,0.0873342025295162,3.72796732550041,7,0,4-8,0
V3a,dg-da,polc-polo,spec,harmonic,equal,7,0.0394976242950873,0.00967852803546265,0.069316720554712,0.0176620850186277,0.0182420005908663,0.0619120749312201,0.0394976242950873,0.00967852803546265,0.069316720554712,0.0176620850186277,0.0277896536448892,-0.0217169167715546,0.0772962240613331,0.218698454348999,0,0.0660059913407842,8.27760033878137,6,0,4-8,0
V3a,dg-da,horiz-vert,spec,harmonic,equal,7,-0.0771601793822165,-0.183512593642577,0.0291922348781443,0.126200338318955,-0.151728824687316,0.00644119704768716,-0.0771601793822165,-0.183512593642577,0.0291922348781443,0.126200338318955,-0.064103079443685,-0.167352885236825,0.039146726349455,0.17952392313697,0.0777176022766768,0.0847571175388672,2.10006543445965,5,0,2-10,1
V3a,dg-da,card-obl,spec,harmonic,equal,7,-0.132458386904161,-0.248466340138185,-0.0164504336701373,0.0314157565131263,-0.218093769082554,-0.0468332694727109,-0.132458386904161,-0.248466340138185,-0.0164504336701373,0.0314157565131263,-0.113401168956101,-0.225864756488644,-0.000937581423557238,0.0486347199038754,0.105006000952939,0.0686123832208145,2.17956530884005,5,0,2-10,1
V3a,dg-da,rad-tang,spec,harmonic,equal,7,-0.156475674028762,-0.20823110813905,-0.104720239918474,0.00031325600643445,-0.194444574517579,-0.117843168666239,-0.156475674028762,-0.20823110813905,-0.104720239918474,0.00031325600643445,-0.164693512020148,-0.235642473539308,-0.0937445505009882,0.00128334346603928,0,0.0863238219832656,5.06354702193407,7,0,2-10,1
