map,band,empty_cells,median_vertices_per_cell,max_weight_ratio,gain_fell_back,reportable
V1,4-8,0,147.5,17.0100691519156,0,1
V1,2-10,0,326.5,19.8930502126832,0,1
V2,4-8,0,136,12.510459573455,0,1
V2,2-10,0,325,6.40953031971544,0,1
V3,4-8,1,77,8.90479992726664,0,1
V3,2-10,0,196.5,11.3480298159646,0,1
V3a,4-8,4,17.5,16.9465865638662,0,0
V3a,2-10,1,44.5,7.61185107633028,0,1
V3b,4-8,13,10.5,85.2869824192972,0,0
V3b,2-10,6,27,37.7386513180481,0,0
hV4,4-8,20,4,70.6544178926698,0,0
hV4,2-10,9,32.5,13.6734037096049,0,0
MT,4-8,28,0.5,NaN,0,0
MT,2-10,19,7,13.5958775436493,0,0
MST,4-8,25,2,30.0231984613539,0,0
MST,2-10,18,9,41.7147397838769,0,0
