map,band,empty_cells,median_vertices_per_cell,max_weight_ratio,gain_fell_back,reportable
V1,4-8,0,150.5,10.4871701406953,0,1
V1,2-10,0,326.5,10.690945595674,0,1
V2,4-8,0,136,20.3859326240074,0,1
V2,2-10,0,325,8.72917158950279,0,1
V3,4-8,1,80,10.6494913462753,0,1
V3,2-10,0,202.5,9.71985386791425,0,1
V3a,4-8,4,18.5,16.9465865638662,0,0
V3a,2-10,1,44.5,7.23253888007111,0,1
V3b,4-8,18,10,120.0100985104,0,0
V3b,2-10,10,24.5,37.7386513180482,0,0
hV4,4-8,24,4,72.3032091457568,0,0
hV4,2-10,10,34.5,23.182316405564,0,0
MT,4-8,30,1,NaN,0,0
MT,2-10,19,9,26.1092525810999,0,0
MST,4-8,28,1.5,30.0231984613539,0,0
MST,2-10,21,9,41.7147397838769,0,0
