map,band,empty_cells,median_vertices_per_cell,max_weight_ratio,gain_fell_back,reportable
V1,4-8,0,147.5,17.4201086034933,0,1
V1,2-10,0,326.5,21.2275380199082,0,1
V2,4-8,0,136,10.9296875845712,0,1
V2,2-10,0,325,7.11667723621173,0,1
V3,4-8,1,77,9.32345436863734,0,1
V3,2-10,0,196.5,11.7874585119333,0,1
V3a,4-8,4,17.5,16.4089349530167,0,0
V3a,2-10,1,44.5,10.02815845553,0,1
V3b,4-8,13,10.5,170.249509558711,0,0
V3b,2-10,6,27,62.7561514407808,0,0
hV4,4-8,20,4,20.7372321690689,0,0
hV4,2-10,9,32.5,6.89822106819189,0,0
MT,4-8,28,0.5,NaN,0,0
MT,2-10,19,7,44.9470502295169,0,0
MST,4-8,25,2,141.779947274787,0,0
MST,2-10,18,9,105.420878573603,0,0
