area,experiment,asymmetry,observer,value,gainScale,nVertex,band
V1,dg,horiz-vert,sub-0037,-0.715685314099929,0.964915744882791,1232,4-8
V1,dg,card-obl,sub-0037,-0.21671930410259,0.964915744882791,1232,4-8
V1,dg,rad-tang,sub-0037,0.170068275881211,0.964915744882791,1232,4-8
V1,dg,polc-polo,sub-0037,0.0569282546240032,0.964915744882791,1232,4-8
V1,dg,horiz-vert,sub-0201,-0.268090017424091,1.10283751004459,1126,4-8
V1,dg,card-obl,sub-0201,-0.131425149342173,1.10283751004459,1126,4-8
V1,dg,rad-tang,sub-0201,0.03102395789976,1.10283751004459,1126,4-8
V1,dg,polc-polo,sub-0201,0.0413424437258431,1.10283751004459,1126,4-8
V1,dg,horiz-vert,sub-0255,-0.435103725916611,0.936636799485268,1606,4-8
V1,dg,card-obl,sub-0255,-0.0414308781611719,0.936636799485268,1606,4-8
V1,dg,rad-tang,sub-0255,0.124180495129447,0.936636799485268,1606,4-8
V1,dg,polc-polo,sub-0255,0.027642820898636,0.936636799485268,1606,4-8
V1,dg,horiz-vert,sub-wlsubj123,-0.467285898724521,1.04705220887972,1235,4-8
V1,dg,card-obl,sub-wlsubj123,-0.218129703656598,1.04705220887972,1235,4-8
V1,dg,rad-tang,sub-wlsubj123,0.104428544187291,1.04705220887972,1235,4-8
V1,dg,polc-polo,sub-wlsubj123,0.027189557729787,1.04705220887972,1235,4-8
V1,dg,horiz-vert,sub-wlsubj124,-0.674597784623836,0.988239718461954,1564,4-8
V1,dg,card-obl,sub-wlsubj124,-0.419763889484168,0.988239718461954,1564,4-8
V1,dg,rad-tang,sub-wlsubj124,0.0142417825848555,0.988239718461954,1564,4-8
V1,dg,polc-polo,sub-wlsubj124,-0.0035561210389734,0.988239718461954,1564,4-8
V1,dg,horiz-vert,sub-0426,-0.645524973370112,1.27244261164101,1135,4-8
V1,dg,card-obl,sub-0426,0.00539127883222162,1.27244261164101,1135,4-8
V1,dg,rad-tang,sub-0426,0.0607005007918024,1.27244261164101,1135,4-8
V1,dg,polc-polo,sub-0426,-0.000174818173991004,1.27244261164101,1135,4-8
V1,dg,horiz-vert,sub-0250,-0.437201155559945,0.762007094609426,1391,4-8
V1,dg,card-obl,sub-0250,-0.326370718600472,0.762007094609426,1391,4-8
V1,dg,rad-tang,sub-0250,0.0590226410240952,0.762007094609426,1391,4-8
V1,dg,polc-polo,sub-0250,0.0246371626054308,0.762007094609426,1391,4-8
V1,da,horiz-vert,sub-0037,0.0263538858583088,0.964915744882791,1232,4-8
V1,da,card-obl,sub-0037,0.016167079090153,0.964915744882791,1232,4-8
V1,da,rad-tang,sub-0037,0.310783139661213,0.964915744882791,1232,4-8
V1,da,polc-polo,sub-0037,0.142365828653261,0.964915744882791,1232,4-8
V1,da,horiz-vert,sub-0201,-0.169110691942597,1.10283751004459,1126,4-8
V1,da,card-obl,sub-0201,0.0294451372043155,1.10283751004459,1126,4-8
V1,da,rad-tang,sub-0201,0.170386250017907,1.10283751004459,1126,4-8
V1,da,polc-polo,sub-0201,0.194149186390962,1.10283751004459,1126,4-8
V1,da,horiz-vert,sub-0255,-0.340077921248187,0.936636799485268,1606,4-8
V1,da,card-obl,sub-0255,-0.00227118551852144,0.936636799485268,1606,4-8
V1,da,rad-tang,sub-0255,0.209974732957715,0.936636799485268,1606,4-8
V1,da,polc-polo,sub-0255,0.0113569432068903,0.936636799485268,1606,4-8
V1,da,horiz-vert,sub-wlsubj123,-0.0846518627415543,1.04705220887972,1235,4-8
V1,da,card-obl,sub-wlsubj123,-0.0503296270371907,1.04705220887972,1235,4-8
V1,da,rad-tang,sub-wlsubj123,0.295165571685363,1.04705220887972,1235,4-8
V1,da,polc-polo,sub-wlsubj123,-0.0293385736592169,1.04705220887972,1235,4-8
V1,da,horiz-vert,sub-wlsubj124,-0.111455283883954,0.988239718461954,1564,4-8
V1,da,card-obl,sub-wlsubj124,-0.0434795393388987,0.988239718461954,1564,4-8
V1,da,rad-tang,sub-wlsubj124,0.0735021693606911,0.988239718461954,1564,4-8
V1,da,polc-polo,sub-wlsubj124,-0.0153077076861165,0.988239718461954,1564,4-8
V1,da,horiz-vert,sub-0426,-0.526313047132698,1.27244261164101,1135,4-8
V1,da,card-obl,sub-0426,-0.0371328568097494,1.27244261164101,1135,4-8
V1,da,rad-tang,sub-0426,0.0492136111419659,1.27244261164101,1135,4-8
V1,da,polc-polo,sub-0426,-0.00927177657695097,1.27244261164101,1135,4-8
