comparison,asymmetry,n,mean,t_lo,t_hi,t_p,obs_agree
V1 - V2,horiz-vert,8,-0.0733326687153419,-0.23150584494225,0.0848405075115661,0.309227519118614,5
V1 - V2,card-obl,8,-0.0185052864657958,-0.0784904761487218,0.0414799032171303,0.489391742283854,6
V1 - V2,rad-tang,8,-0.0647236809284514,-0.252370374261189,0.122923012404286,0.441585859031954,6
V1 - V2,polc-polo,8,-0.00164417698956825,-0.0785297356477955,0.075241381668659,0.961083340550565,4
V2 - V3,horiz-vert,8,-0.147919491127599,-0.249801507084299,-0.0460374751708992,0.0109386760164583,8
V2 - V3,card-obl,8,-0.0651518194727397,-0.110235016784223,-0.0200686221612561,0.0111774336535038,6
V2 - V3,rad-tang,8,0.087057542952393,0.0240887636183919,0.150026322286394,0.0136891788504244,7
V2 - V3,polc-polo,8,-0.0205999743037639,-0.0740528793224584,0.0328529307149307,0.392441777151257,5
V1 - V3,horiz-vert,8,-0.221252159842941,-0.414130153300916,-0.0283741663849659,0.0300907972941103,7
V1 - V3,card-obl,8,-0.0836571059385355,-0.171732904158641,0.00441869228157014,0.0595490697463908,6
V1 - V3,rad-tang,8,0.0223338620239416,-0.155267922881968,0.199935646929851,0.774824358610496,3
V1 - V3,polc-polo,8,-0.0222441512933321,-0.123849907091625,0.079361604504961,0.62063612260098,4
