comparison,asymmetry,n,mean,t_lo,t_hi,t_p,obs_agree
V1 - V2,horiz-vert,8,-0.0559614254128981,-0.21121652140794,0.0992936705821438,0.422234133126385,5
V1 - V2,card-obl,8,-0.0194488807144465,-0.0922183898289553,0.0533206284000622,0.54747349871495,5
V1 - V2,rad-tang,8,-0.0812885454599058,-0.269697019480921,0.10711992856111,0.341585355614452,6
V1 - V2,polc-polo,8,-0.00723393962282716,-0.0798955004141617,0.0654276211685074,0.820626228534015,3
V2 - V3,horiz-vert,8,-0.158600452048693,-0.255768744600258,-0.0614321594971276,0.00621473491010261,8
V2 - V3,card-obl,8,-0.0461282827332959,-0.0915618365058484,-0.000694728960743449,0.0474116530895327,6
V2 - V3,rad-tang,8,0.104917473520332,0.00826259786889066,0.201572349171773,0.0371828534653512,7
V2 - V3,polc-polo,8,0.0117000410730879,-0.05050885512014,0.0739089372663157,0.669940203012543,5
V1 - V3,horiz-vert,8,-0.214561877461591,-0.398089919677492,-0.0310338352456902,0.0279154917312712,7
V1 - V3,card-obl,8,-0.0655771634477425,-0.162239582862324,0.0310852559668394,0.152705872248867,5
V1 - V3,rad-tang,8,0.0236289280604262,-0.146982207255494,0.194240063376347,0.75287333326024,2
V1 - V3,polc-polo,8,0.0044661014502607,-0.0868036064036504,0.0957358093041717,0.911133232590959,5
