area,experiment,asymmetry,observer,value,gainScale,nVertex
V1,dg,horiz-vert,sub-0037,-0.76507044515615,1.03149876619178,1232
V1,dg,card-obl,sub-0037,-0.231673797403853,1.03149876619178,1232
V1,dg,rad-tang,sub-0037,0.181803662827724,1.03149876619178,1232
V1,dg,polc-polo,sub-0037,0.0608565304458203,1.03149876619178,1232
V1,dg,horiz-vert,sub-0201,-0.286589294109688,1.178937681299,1126
V1,dg,card-obl,sub-0201,-0.140494006976215,1.178937681299,1126
V1,dg,rad-tang,sub-0201,0.0331647342948844,1.178937681299,1126
V1,dg,polc-polo,sub-0201,0.0441952366522327,1.178937681299,1126
V1,dg,horiz-vert,sub-0255,-0.465127612258984,1.00126846117143,1606
V1,dg,card-obl,sub-0255,-0.0442897734150685,1.00126846117143,1606
V1,dg,rad-tang,sub-0255,0.132749442830025,1.00126846117143,1606
V1,dg,polc-polo,sub-0255,0.0295502854028639,1.00126846117143,1606
V1,dg,horiz-vert,sub-wlsubj123,-0.499530482893831,1.11930297264349,1235
V1,dg,card-obl,sub-wlsubj123,-0.233181520132507,1.11930297264349,1235
V1,dg,rad-tang,sub-wlsubj123,0.11163452877171,1.11930297264349,1235
V1,dg,polc-polo,sub-wlsubj123,0.0290657452739382,1.11930297264349,1235
V1,dg,horiz-vert,sub-wlsubj124,-0.721147712850019,1.05643218664552,1564
V1,dg,card-obl,sub-wlsubj124,-0.448729266146837,1.05643218664552,1564
V1,dg,rad-tang,sub-wlsubj124,0.0152245221850271,1.05643218664552,1564
V1,dg,polc-polo,sub-wlsubj124,-0.00380150752392927,1.05643218664552,1564
V1,dg,horiz-vert,sub-0395,-0.690333000442461,0.896023564376741,1786
V1,dg,card-obl,sub-0395,-0.403653791854399,0.896023564376741,1786
V1,dg,rad-tang,sub-0395,0.265705720252583,0.896023564376741,1786
V1,dg,polc-polo,sub-0395,0.141095449662692,0.896023564376741,1786
V1,dg,horiz-vert,sub-0426,-0.690068762074284,1.36024620897546,1135
V1,dg,card-obl,sub-0426,0.00576329849846941,1.36024620897546,1135
V1,dg,rad-tang,sub-0426,0.0648890765914209,1.36024620897546,1135
V1,dg,polc-polo,sub-0426,-0.000186881322784865,1.36024620897546,1135
V1,dg,horiz-vert,sub-0250,-0.467369772883626,0.814588612619731,1391
V1,dg,card-obl,sub-0250,-0.348891595295095,0.814588612619731,1391
V1,dg,rad-tang,sub-0250,0.0630954378313414,0.814588612619731,1391
V1,dg,polc-polo,sub-0250,0.026337224741892,0.814588612619731,1391
V1,dg,horiz-vert,sub-0442,-0.148392132051615,0.795289288468598,1531
V1,dg,card-obl,sub-0442,-0.166860433505947,0.795289288468598,1531
V1,dg,rad-tang,sub-0442,0.133792996132432,0.795289288468598,1531
V1,dg,polc-polo,sub-0442,0.0188736515527193,0.795289288468598,1531
V1,dg,horiz-vert,sub-wlsubj121,-0.169025677322225,0.737840086240772,2293
V1,dg,card-obl,sub-wlsubj121,-0.0223439186716148,0.737840086240772,2293
V1,dg,rad-tang,sub-wlsubj121,0.0487199286243968,0.737840086240772,2293
V1,dg,polc-polo,sub-wlsubj121,0.00258343753342689,0.737840086240772,2293
V1,dg,horiz-vert,sub-wlsubj127,-0.365798436024039,0.907458157785994,1518
V1,dg,card-obl,sub-wlsubj127,-0.0149338440543697,0.907458157785994,1518
V1,dg,rad-tang,sub-wlsubj127,0.0752033185847245,0.907458157785994,1518
V1,dg,polc-polo,sub-wlsubj127,0.0262175430691708,0.907458157785994,1518
V1,dg,horiz-vert,sub-0397,-0.600514723773075,1.35261799894351,1580
V1,dg,card-obl,sub-0397,0.0723455498354183,1.35261799894351,1580
V1,dg,rad-tang,sub-0397,-0.00489904127957067,1.35261799894351,1580
V1,dg,polc-polo,sub-0397,0.0133937873520226,1.35261799894351,1580
V1,dg,horiz-vert,sub-0427,-0.177405265953323,0.971261511319618,1055
V1,dg,card-obl,sub-0427,-0.445343442001337,0.971261511319618,1055
V1,dg,rad-tang,sub-0427,0.11570648305078,0.971261511319618,1055
V1,dg,polc-polo,sub-0427,0.0637949966516098,0.971261511319618,1055
V1,da,horiz-vert,sub-0037,0.0263538858583088,0.964915744882791,1232
V1,da,card-obl,sub-0037,0.016167079090153,0.964915744882791,1232
V1,da,rad-tang,sub-0037,0.310783139661213,0.964915744882791,1232
V1,da,polc-polo,sub-0037,0.142365828653261,0.964915744882791,1232
V1,da,horiz-vert,sub-0201,-0.169110691942597,1.10283751004459,1126
V1,da,card-obl,sub-0201,0.0294451372043155,1.10283751004459,1126
V1,da,rad-tang,sub-0201,0.170386250017907,1.10283751004459,1126
V1,da,polc-polo,sub-0201,0.194149186390962,1.10283751004459,1126
V1,da,horiz-vert,sub-0255,-0.340077921248187,0.936636799485268,1606
V1,da,card-obl,sub-0255,-0.00227118551852144,0.936636799485268,1606
V1,da,rad-tang,sub-0255,0.209974732957715,0.936636799485268,1606
V1,da,polc-polo,sub-0255,0.0113569432068903,0.936636799485268,1606
V1,da,horiz-vert,sub-wlsubj123,-0.0846518627415543,1.04705220887972,1235
V1,da,card-obl,sub-wlsubj123,-0.0503296270371907,1.04705220887972,1235
V1,da,rad-tang,sub-wlsubj123,0.295165571685363,1.04705220887972,1235
V1,da,polc-polo,sub-wlsubj123,-0.0293385736592169,1.04705220887972,1235
V1,da,horiz-vert,sub-wlsubj124,-0.111455283883954,0.988239718461954,1564
V1,da,card-obl,sub-wlsubj124,-0.0434795393388987,0.988239718461954,1564
V1,da,rad-tang,sub-wlsubj124,0.0735021693606911,0.988239718461954,1564
V1,da,polc-polo,sub-wlsubj124,-0.0153077076861165,0.988239718461954,1564
V1,da,horiz-vert,sub-0426,-0.526313047132698,1.27244261164101,1135
V1,da,card-obl,sub-0426,-0.0371328568097494,1.27244261164101,1135
V1,da,rad-tang,sub-0426,0.0492136111419659,1.27244261164101,1135
V1,da,polc-polo,sub-0426,-0.00927177657695097,1.27244261164101,1135
V1,da,horiz-vert,sub-0250,-0.191182733900208,0.762007094609426,1391
V1,da,card-obl,sub-0250,-0.108706669395411,0.762007094609426,1391
V1,da,rad-tang,sub-0250,0.255847903029098,0.762007094609426,1391
V1,da,polc-polo,sub-0250,0.123102790174661,0.762007094609426,1391
