area,experiment,asymmetry,observer,value,gainScale,nVertex
V1,dg,horiz-vert,sub-0037,-0.746192993300238,1.03149876619178,1232
V1,dg,card-obl,sub-0037,-0.230431939091867,1.03149876619178,1232
V1,dg,rad-tang,sub-0037,0.184860456490179,1.03149876619178,1232
V1,dg,polc-polo,sub-0037,0.10404080834177,1.03149876619178,1232
V1,dg,horiz-vert,sub-0201,-0.271731584707407,1.178937681299,1126
V1,dg,card-obl,sub-0201,-0.140670677281459,1.178937681299,1126
V1,dg,rad-tang,sub-0201,0.0665572733009586,1.178937681299,1126
V1,dg,polc-polo,sub-0201,0.0843600549560463,1.178937681299,1126
V1,dg,horiz-vert,sub-0255,-0.471837317183589,1.00126846117143,1606
V1,dg,card-obl,sub-0255,-0.0479908384576854,1.00126846117143,1606
V1,dg,rad-tang,sub-0255,0.100394183537097,1.00126846117143,1606
V1,dg,polc-polo,sub-0255,0.0377008072187819,1.00126846117143,1606
V1,dg,horiz-vert,sub-wlsubj123,-0.505350222249472,1.11930297264349,1235
V1,dg,card-obl,sub-wlsubj123,-0.259080684515973,1.11930297264349,1235
V1,dg,rad-tang,sub-wlsubj123,0.115671344545503,1.11930297264349,1235
V1,dg,polc-polo,sub-wlsubj123,0.0819798777944716,1.11930297264349,1235
V1,dg,horiz-vert,sub-wlsubj124,-0.716776032153587,1.05643218664552,1564
V1,dg,card-obl,sub-wlsubj124,-0.442470732122917,1.05643218664552,1564
V1,dg,rad-tang,sub-wlsubj124,0.0234050482004774,1.05643218664552,1564
V1,dg,polc-polo,sub-wlsubj124,0.00648367664726227,1.05643218664552,1564
V1,dg,horiz-vert,sub-0395,-0.736662159798547,0.896023564376741,1786
V1,dg,card-obl,sub-0395,-0.404864624085612,0.896023564376741,1786
V1,dg,rad-tang,sub-0395,0.313067532553894,0.896023564376741,1786
V1,dg,polc-polo,sub-0395,0.177818264813425,0.896023564376741,1786
V1,dg,horiz-vert,sub-0426,-0.674898516789589,1.36024620897546,1135
V1,dg,card-obl,sub-0426,0.0273007779387122,1.36024620897546,1135
V1,dg,rad-tang,sub-0426,0.0545629298738371,1.36024620897546,1135
V1,dg,polc-polo,sub-0426,0.0422887926928327,1.36024620897546,1135
V1,dg,horiz-vert,sub-0250,-0.460354560839943,0.814588612619731,1391
V1,dg,card-obl,sub-0250,-0.352806264287768,0.814588612619731,1391
V1,dg,rad-tang,sub-0250,0.133457066392953,0.814588612619731,1391
V1,dg,polc-polo,sub-0250,0.0647428747234466,0.814588612619731,1391
V1,dg,horiz-vert,sub-0442,-0.138417262179533,0.795289288468598,1531
V1,dg,card-obl,sub-0442,-0.161452077714341,0.795289288468598,1531
V1,dg,rad-tang,sub-0442,0.148363025885148,0.795289288468598,1531
V1,dg,polc-polo,sub-0442,0.0026184166393497,0.795289288468598,1531
V1,dg,horiz-vert,sub-wlsubj121,-0.160635586872999,0.737840086240772,2293
V1,dg,card-obl,sub-wlsubj121,-0.0261381765719401,0.737840086240772,2293
V1,dg,rad-tang,sub-wlsubj121,0.0451295071269246,0.737840086240772,2293
V1,dg,polc-polo,sub-wlsubj121,-0.0045222731938373,0.737840086240772,2293
V1,dg,horiz-vert,sub-wlsubj127,-0.381130559250507,0.907458157785994,1518
V1,dg,card-obl,sub-wlsubj127,-0.0214180863374159,0.907458157785994,1518
V1,dg,rad-tang,sub-wlsubj127,0.0937652223293694,0.907458157785994,1518
V1,dg,polc-polo,sub-wlsubj127,0.0511894335588705,0.907458157785994,1518
V1,dg,horiz-vert,sub-0397,-0.584517295274302,1.35261799894351,1580
V1,dg,card-obl,sub-0397,0.0776818508137329,1.35261799894351,1580
V1,dg,rad-tang,sub-0397,-0.0445343894862519,1.35261799894351,1580
V1,dg,polc-polo,sub-0397,0.0443437820329271,1.35261799894351,1580
V1,dg,horiz-vert,sub-0427,-0.220222382735788,0.971261511319618,1055
V1,dg,card-obl,sub-0427,-0.471510158938119,0.971261511319618,1055
V1,dg,rad-tang,sub-0427,0.141289797560838,0.971261511319618,1055
V1,dg,polc-polo,sub-0427,0.170240527010148,0.971261511319618,1055
V1,da,horiz-vert,sub-0037,0.0404117888554149,0.964915744882791,1232
V1,da,card-obl,sub-0037,0.0447405192160713,0.964915744882791,1232
V1,da,rad-tang,sub-0037,0.267398398405136,0.964915744882791,1232
V1,da,polc-polo,sub-0037,0.142308601046216,0.964915744882791,1232
V1,da,horiz-vert,sub-0201,-0.16376458941686,1.10283751004459,1126
V1,da,card-obl,sub-0201,-0.00482844546038531,1.10283751004459,1126
V1,da,rad-tang,sub-0201,0.178313515260556,1.10283751004459,1126
V1,da,polc-polo,sub-0201,0.151748094081348,1.10283751004459,1126
V1,da,horiz-vert,sub-0255,-0.353845078821142,0.936636799485268,1606
V1,da,card-obl,sub-0255,0.00137913201087384,0.936636799485268,1606
V1,da,rad-tang,sub-0255,0.23533744082713,0.936636799485268,1606
V1,da,polc-polo,sub-0255,0.00948397922593402,0.936636799485268,1606
V1,da,horiz-vert,sub-wlsubj123,-0.137931982324846,1.04705220887972,1235
V1,da,card-obl,sub-wlsubj123,-0.0701677503767825,1.04705220887972,1235
V1,da,rad-tang,sub-wlsubj123,0.283573610642847,1.04705220887972,1235
V1,da,polc-polo,sub-wlsubj123,-0.0298231117773427,1.04705220887972,1235
V1,da,horiz-vert,sub-wlsubj124,-0.122874649713057,0.988239718461954,1564
V1,da,card-obl,sub-wlsubj124,-0.0648760879738019,0.988239718461954,1564
V1,da,rad-tang,sub-wlsubj124,0.0916254426925388,0.988239718461954,1564
V1,da,polc-polo,sub-wlsubj124,-0.0129011562232266,0.988239718461954,1564
V1,da,horiz-vert,sub-0426,-0.538633652932417,1.27244261164101,1135
V1,da,card-obl,sub-0426,-0.0624834690444748,1.27244261164101,1135
V1,da,rad-tang,sub-0426,0.0745680392859215,1.27244261164101,1135
V1,da,polc-polo,sub-0426,-0.014972592342477,1.27244261164101,1135
V1,da,horiz-vert,sub-0250,-0.210114896183319,0.762007094609426,1391
V1,da,card-obl,sub-0250,-0.151886301546449,0.762007094609426,1391
V1,da,rad-tang,sub-0250,0.256559677665591,0.762007094609426,1391
V1,da,polc-polo,sub-0250,0.107058891182301,0.762007094609426,1391
